,review_id,user_id,business_id,stars,date,text,useful,funny,cool,contradictory,figurative,confusing,qualifier
5106247,2W7Fp1YlecsL6gOrBnQ6YQ,R4bOjG3V6UAD8w56_CjEJA,d2ZQRjuizstCTnicysmpMQ,3,2015-07-15,"Dinner has always been excellent so no complaints.   But went for brunch a few weeks ago & definitely complainable.   Very weird brunch items.  There were 5 of us & none of us wanted anything on the menu.  We all ended up getting the kids menu with regular eggs, hash browns & toast.   Took 1.5 hours!!!!!  to get our food.   It was seriously unbelievable.   Service was awful.  Awful.  Awful.    I'll stick to dining for dinner only from now on.",0,0,0,1,0,0,0
4472224,5MOXllwt7oNDeSYl18EicQ,ZUnmsVs1Vdp9_UtG41u7mw,8ApG8Oe9-Yh9g_7iB9Nw7Q,1,2011-08-13,"Well, it started off good but quickly went down hill!!! I bought a Groupon which clearly stated that if you purchased the groupon for $15 , then you would get $30 worth of food and drink.  The Groupon said 50% off.  Well, when the bill came, the waitress said, you have to spend $30 and then they would take $15 dollars off.  I talked to the manager because, to me this was false advertisement!! Initially he agreed with the waitress, saying that the owners didn't mean to print that. I stood firm in my argument because I knew he was wrong. I've purchased other groupons and they do not require you to spend 30 bucks in order to get discounted what you paid upfront.  This was bullshit and I politely let them know!  The food was just average, and our waitress was rude after I told her that we still left her a20% tip despite the mix up!! I will not be going back!!!",3,1,0,1,0,0,0
2846765,m8ewYiD7DuuUPk1N2uHRiA,NWdEd3PCIgA4GFg8oPsScg,zwNLJ2VglfEvGu7DDZjJ4g,1,2014-09-15,"Was a big fan until yesterday. Hot sauce used to be the best, now just tasted like tomato sauce. Food was awful, they're only excuse was that they are training new chefs. Sadly, we will not go back.",2,0,0,1,0,0,0
1902364,1kKQk7f8Rn7_6d9ogTNQjw,deL6e_z9xqZTIODKqnvRXQ,wX1ORSDKPkA5ftE7F6UONw,3,2014-01-03,"I finally stopped here with my Yelp bestie Heather S. before I left town going to the land down under... I have passed by this joint a kazillion times. I had not even realized the name change until we were walking up to enter! Wow they are super friendly, and I thought the lead cashier, maybe shift leader who helped us place our order was yummy! 

I decided on the fried strips and mac and cheese, and Heather S. got the grilled chicken strips with mac and cheese.

The food is fresh and good. Really how can you go wrong with breading chicken and frying it, they do seem to make it just that much more delicious. I love the fried strips, the panko breading was fried to a perfect golden brown, mmmmm yum yes..

My only thing is that I think they should give up the sauce more. That is a pet peeve of mine when a joint charges for or limits ""extra"" sauce. I mean they are called strip n dip chicken right? I ordered the 6 piece chicken strip meal and ran out of sauce with there limit of 3 small dipping sauce sides.

Anyhow, it was good,  I just did not get the happy ending I had been hoping for...

This goes in my overrated file.... :(",4,1,4,1,0,0,0
2001819,K6266xB5jE6JanPVW-i0dQ,zeaF5gjZctcpTzX6t86DxA,v2UYBFxtaB14OnoKQOuwjA,2,2014-11-25,"I sincerely hope last night was just an off night as I have been here twice before and had great experiences.  Last night was not one of them.  Three problems -1.  the white bean and kale soup was thin and under-seasoned - very weak\/watery.  It was a  rather bland broth with a handful of beans and some chopped kale.  I realize it may have been a vegetable broth but something was seriously lacking.   2. The bruschetta bread was not grilled or toasted - it was just the bread brushed with oil.  3. not that big of a deal but usually they have two or three entree choices - but tonight they only had one.    I love the location, vibe, and staff - and the owners have been very nice and gracious in the past - they were not around last night that I could see.  I just hope it was an off night.   We had out of town guests with us and were in a hurry so we didn't say anything at the time and didn't have time to re-order.  I would expect that would have graciously fixed things or refunded a portion.   Please stay on top of your kitchen guys!  I want to keep coming.",1,0,0,1,1,0,0
3727019,-oddeUHagYDkYhqPTECZGw,HgEqgWJG_VScZmN6OHQw_Q,P8uECqGqXWTwEndkh-6bQw,2,2017-05-04,"This place is good, but it's really not THAT good when it comes to the food.
I would say the food here is 100% overpriced. Plus, they already makes tons of money on alcohol sales, so they really should lower their food prices. Appearances on tv dont make the food taste better.  
They finally opened up a family dinning section but it is closed a lot, so expect to leave when you arrive if you brought kids.",0,0,0,1,0,0,0
4022416,X1f8DvRQHlbhxmHY5a3R1w,R4kDi-dr5q0kxaoRFnNA_w,UbycymnVPeXDpKCgMssZhA,5,2017-05-24,"I have never been disappointed.  Food is home cooked, all entres are well portioned, and service is very good.  It does not matter if you go to Dominics Pizza, JoJos Sports bar, or Dominics Italian Rest. you will be happy you went there.  A life long customer.",0,0,0,1,0,0,1
2027457,ktrdF4ltEt03jRhxxVXpnQ,eX5IEPsqwutGyfX0N9GZGQ,KW5edXlPGeZ0cx7MiJyamw,2,2017-02-18,I really wanted to like this place. I ordered the macadamia nut latte. The cup was filled a little more than halfway. The server was very rude.,1,0,0,1,0,0,0
3774276,f1_0VFvTY5Akz25RKBklkg,NhRP3DJgWYi-wsY7wL3TCA,ZYr2feXiGYTbWyho_1oUiw,2,2016-01-22,"Well, I wanted to like the place but let me say:service is great, staff is great, ambience is great, coffee is great. I just like to eat healthier and while they did sub egg whites and hold the hollandaise sauce and cheese, it was a little tasteless. They say, if you want Chinese food, go to a Chinese restaurant. If you want healthier fare, go to Good Egg\/First watch, or even JJ's or Einstein's where you can adjust the menu. Not many options here. BUT..I will say, for people who want a hearty breakfast, it's tops. Just not for me.",0,0,0,1,0,0,0
2455057,jQ3d7B0xH68pAtAOs8S1Mg,rrTbd8-4T8F87jT1db4Jmg,8YL_Cm7lYGLfPvp5sseyrQ,3,2017-02-10,"It's not my favorite sushi spot but it's very convenient down the street. I typically get a poke bowl. They are not like the ones I have got before but it fills me up for sure. Not a fan of the ceviche. Really big chunks of every ingredient and is only served with four tiny crostini's, which is clearly not enough. Very fresh tasting but not my cure for ceviche. Rolls are ok. Quantity of spicy salmon was great. Probably the best tasting thing I have had thus far. I have been here, 5 or 6 times. Hope better for next. I experiment each time.",1,0,0,1,0,0,1
3646037,j0lMwlBCQFLWjvyLBqbuzw,99xB9SWN7YsGiLU54icBZw,N-RvDnKBTGa-jwD4u1kjvw,3,2017-10-09,I usually love this place but this time they didn't remind me that my sandwich didn't come warm and when the guy came to serve it I asked him if he could just toast the bread and he walked off service is something to be desired,0,1,0,1,0,0,0
4935363,ZA7P322JRxk7g0Kq5w_Heg,1UiVMCuVLTm6bOnn9h2R2Q,NUpRBNSWuhRQ2tze3-A-Ng,2,2014-04-12,"This buffet lived down to my expectations. The food was dry, flavorless, and generally poor quality. I would eat the mashed potatoes and one of the pasta dishes again, but it's hard to screw those up. We also came as they were transitioning from breakfast to lunch which only added to the problem. Boy got what looked like a really good dessert and it turned out to be completely bland. I'm not sure how they managed that one, but they get an extra star for coming up with a new and creative way to work ""meh"".",0,0,0,0,0,1,0
3467626,rQtbcTEw12W9w8IGSG0vRg,xY9eQh6MMyIWDZcMPv2MdA,RbjHdOOR2yWalH-lVTygXw,3,2017-05-04,Staff is nice.  But hidden fees are a joke.  They don't tell you all the costs until you get there and are signing the paperwork.  $1 first month is actually $60....I would have chosen another place for storage if I would have had more time to research.,0,0,0,1,0,0,0
706844,xoxigNDrGMVF93NY3zKW5A,NRMlDBUoGJdgoXTUllZpuA,U4Uz2I4XiffkOxj3K4RFYw,3,2014-07-13,"I love this extremely over priced store lol. They have so much unique things. I love shopping for friends here. The staff is usually pretty cool. Only complaint when in tell them I'm just looking, they keep coming back if I'm sure. I'm sure",25,24,23,1,0,0,0
3396115,Sfgpo8DnNfALk_nNqyzc0A,_RVwx6XH9Vu0IAHsk1TIJQ,MN2oRaV4bZEbBIy_w7fNEQ,2,2013-08-29,"Yet again my first time visiting another lunchtime chain store; and I was not impressed really. The food was only ""OK"" and a bit bland. Plenty sauces to choose from if you know what you're doing; but it would need a lot to cover the tasteless food. I had the ""'lil bowl"" and a drink and with a side of guacamole it came to $9.68?! Wow...not good value for $$ in any language! The staff are very friendly and service is fast (it was empty for the most part at 11:45) Their credit card reader was also down so it was harder on them than usual They could give you a little more taco meat on the meal also. Don't think I'll be going back....",1,0,0,1,0,0,1
1588444,ZGHxKnHUA0mMxQ55v0uZ6w,WxZgDMpP7OVOKSew9bJMuQ,_PcRyvbZmVQvlS5uORDGVA,2,2017-09-03,"It's okay place, food is okay and service was not great. i went Sunday morning, it was busy, but we got seated in 10 mins. We wanted to sit outside b\/c the weather was nice but they didn't have enough servers. It took them 35 mins to get the food to our table, server spilled the drink, didn't even come back to clean it up. Orange juice was warm, didn't even put ice in it, to keep it cold. Probably will not go there again.",0,0,0,,,,
4364516,yWy_rfgk40HuFs-HT5yvSw,yZS81ytT4TnAzaQ9Qs73oA,LUDX--wfStrKavGyitk4nA,4,2012-07-17,"3 words...Twice Baked Potato! Oh my, these are so good!!! I love these so much I have even ordered them to go when we are grilling steaks at home. But it is always nice we we go there for dinner too. 

The rest is good as well. I've had the filet, prime rib, various appetizers, a delicious orange martini. 

Only once did I not enjoy my food. The one time I decided to order the peppercorn steak. Way too peppercorny. (is that a word? ;-)) It did live true to it's name but way too much. Couldn't taste anything else.

So stick with the basics and definitely get the twice baked potato.",2,0,1,1,0,0,0
4749412,A-5M05FYt98cjlUqEiAbpw,B1829_hxXSEpDPEDJtYeIw,Qc0l8rZ3nvrcERitgxu8XA,3,2015-07-21,"I think my expectations were too high before I arrived. I love me some good eggs Benedict, and my friend had wanted to take me here to try the lobster. 

I'm a bit picky, since good Benedict has to have amazingly good sauce. Once that sauce is instant made or out of a bag, it just doesn't taste right.

I wasn't too fond of the sauce on my Benedictus. The banana muffin or bread thing was good. The interior was a bit run-down when I went.",0,0,0,1,0,0,0
843684,eSnv-piFk_6Q-KTucqGWrw,ypo0imqRZhjBrNLZv9l-oQ,6lj2BJ4tJeu7db5asGHQ4w,2,2017-07-21,They started off good but looks like cleanliness is not a big priority. Too bad because the few times we visited the service was good. It was so filthy I just threw our food away and went across the street. I don't understand how an employee can't just take the time to wipe the tables are mop the floor after someone dropped a drink.,1,0,0,1,0,0,0
2484062,rdMRfI9YAhdoLV99XYpbYw,ffKUynnFibc7HKoJEfTx2w,nNSxX1q2LhNRPLMSL5kS9g,2,2009-01-16,Given that this restaurant has a prime location overlooking the forth and both the rail and road bridge we were very dissppointed by our visit. We visited at the latter end of the summer when it was busy but not mobbed. We went in to find a table for a drink with a view to eat. All the empty tables were dirty and no one made an effort to clear one for us. we stood about for a few minutes and as no one made any attempt to help we left and went elsewhere. This could be a fantastic place but needs a bit of a push.,0,0,0,1,0,0,0
3191446,nIfmch0yAHXIiGQPtkHdqQ,DGDlpOVeUNEkBDYkJLvdBQ,t6WY1IrohUecqNjd9bG42Q,4,2010-08-19,"Just ate here for lunch today. I went with the Taco Salad with chicken. It was pretty huuuuge. I only ate half and I am ready to ktfo! I have 2 hours more of work.. let's hope I get through it without comatosing. 
 
 The taco shell is a chipotle shell.. wondering if it is homemade.. probably. My favorite part is the black beans & rice. I was thinking it'd be full of beans, but has a nice balance between the rice and beans. It also had grilled chicken and topped with iceberg lettuce, cheese and avocados. On the side were two containers of mild if anything, salsa. I do agree with Honey T. that $12.95 for a salad is just plain outrageous!! 
 
 I really wish they had their dinner menu at this time because that has soft tacos, teriyaki, curry, etc. 
 
 I did place a phone order, knowing it'd be busy. They told me it would be ready in about 25 mins. I thought that was a little long.. good thing I had called. It was pretty busy in this small little cafe. It is very modern looking. Most of the tables were full. They had my phone order all ready to go when I arrived there about 10 mins early.
 
 I had been here a couple years ago when they had first opened and I noticed their food really has improved since I last ate there. When I first went there, I got some sort of rice salad.. I didn't even see it on the menu. I can't really describe it being such a long time ago.. but I do remember it not being very good and me wishing I had ordered something else. My boyfriend got a panini and said it was okay. 
 
 They have also expanded from the last time I've been there and have a little bakery section and more tables. Very cool.. I think it took over a part of 8ono8 musubis. (man i miss that place!) 
 
 I have not tried any of their desserts except for their vegan cookies which are... ughhh.. like drugs!! They are soooo tasty and full of flavor and not to mention addicting. I can eat a whole pack by myself and they are less than 100 calories for 4. Not that I really count calories.. but just the fact that it is.. is pretty awesome in itself. I swear, better than non-vegan, hydrogenated oils, refined flour\/sugar crap like chips ahoy. They melt in your mouth and are sweet but not too sweet. 
 
 Will definitely be back again.. but probably will try their pastas and\/or give their panini's a shot again.",2,1,2,0,1,0,0
144431,YP_SRAZci11mRXwgA2P0Tw,ierqPx-n-6fr6gHF2gNUqQ,_3olhuCXhoqjy4M2rBp1YA,3,2016-04-26,"Good drinks, cool space. This was my first time there and it may have been an off night but it wasn't very crowded or lively. However the drinks are decent and the space is fun. LED sky curling and lots of tiki themed decor to keep your eyes entertained. The staff was very polite and attentive as well. Only bummer is they were out of signature mugs and that is a must for any tiki bar. I collect them and consider it part of the experience. 
 
 I'll try again next time I'm in town and hopefully I'll have better luck.",1,0,0,1,0,0,0
4265417,WBfkdDCgOl-7sqjOaOirdw,JLv2Dmfj73-I0d9N41tz1A,d5n_zQMaVZxFKNnS-4ludA,2,2014-01-31,"not my favorite or even go to place 
 the food was nothing special 
 a bit over priced
 great location tho 
 the music physically was louder in the bathroom then in the resturant...not sure whats up with that",0,0,0,1,0,0,1
2752222,MGdS1yWglYGH58276DCpdw,K8fUIB7EvnuNvw8d7rPJBQ,pSQFynH1VxkfSmehRXlZWw,4,2013-11-28,"I've eaten here twice and enjoyed it. I had previously heard that the service was rude but I never found them to be anything but nice. Food was great. Don't know if I'd call it THE BEST pizza I've ever had in my life, but it ranks in Top 10 for sure.",0,0,0,1,0,0,0
4031476,0ORFC3csjbWgr61eZg_d0g,V9YMFhn0SiE15MW8xDmRxg,MX3TL4-ij22rLFBD1XjKGw,2,2015-05-31,"So so. Definitely did not live up to the hype. Small portions and bland at best. I Wil say the rock shrimp app was fantastic though. The place is very tight and VERY loud. Service was average, definitely not anything exceptional. Place is very over priced for the portions and flavors.",0,0,0,1,0,0,1
1346797,PeVWXEnp604Dht-t2TR1AA,_0UfStzggCPQURgDDZ5o3A,cA2ZGg41C-KEuHLwXxoB1Q,2,2015-06-26,"Not sure what all the hype on this place is about... The ambiance is decent, I'll give them that. But the food was not good at all. Maybe we just got the wrong things? When I asked for recommendations from our server she gave us short, uneducated answers and had a bit of an attitude. Chicken fingers were about the same quality as the frozen ones at the grocery store.. I asked for ranch to hide the taste a bit and waited ten minutes for someone (not even our server) to bring it. Only to find out later that we were charged for it! We also got a French dip with au jus. Both the sandwich and dip were WAAAYYY to salty to eat. Disgusting. 
 
 Atmosphere: 4\/5. Decent patio, new building. 
 
 Service: 1\/5. Server did the bare minimum. Also should have warned us that they charge for ranch\/extra sauce.. I've always been warned by servers at places that do that. 
 
 Food: 1\/5. Chicken strips were edible but barely, French dip was beyond disgusting. 
 
 I might go again to try the burgers that everyone loves so much and give the place another shot, given that it's so close to my place, but my first experience was not good at all.",3,0,1,1,1,0,1
2300693,sAZK8o3acbqp2sTqqrLJtw,8L-YKPg8Hrque5bVxADFyg,aD-YA02i2xAqLBDon1tzIQ,3,2011-03-16,"We have been here several times for Sunday Supper, but went last Friday night with another couple. The food was good, not great, but good. I think it is overpriced. it was so loud we had to scream at each other. The worst was when we got home my husband mentioned how much it was and I have to assume we got charged for wine that we didn't have as the bill was about $60. more than it should have been. I'm going to give them the benefit of the doubt and assume it was an error, but will not go back for anything other than Sunday Supper and will carefully check the bill.",4,1,0,1,0,0,1
178256,XtKyaJEZqO3jfy_N1p83Cw,vVOe7RUuAWqWNvHTyyBkLw,PV9CdNFDOX4_zWm3Sy3W8g,2,2012-11-30,"The place has good wings, but only if you order them at the restaurant, they are far worse when you order takeout (I've ordered in both at the location and takeout more than once, so I feel this is consistent). All of the rest of the food is very average.",1,0,0,1,0,0,0
4899644,WOsa2-Qe7HFOytMOiP66Sw,hFgY9So6qsPOE7fK2noGHA,SYOzI_Ooe-rXI3ZqCybwSQ,4,2015-06-24,"During my first visit I probably would have given two or three stars. Nothing terrible happened but the service was pretty lackluster and the Mac and Cheese ""dinner"" was literally a giant bowl of decent (albeit standard) macaroni with creamy cheddar sauce.
 
 Having been back several times since that initial visit I have found that the service during my initial visit must have been an exception and that I simply need to order other items. I do love mac and cheese, but here it is better ordered as a side. I also appreciate that The Diner on Clifton is open late and serves part of their breakfast menu all day -- which is a big plus for a breakfast for lunch or dinner guy like me. I am also a fan of their shakes and will certainly continue visiting, especially if I have a need for a late night snack in the area.",0,0,0,1,1,0,0
583643,cjaVt6tS6T0K_KMD3G-Hvg,qlXBD8L2Q_BA_vUvG_hvfQ,xmAakatNKpvIJ-Fmq5swCw,2,2014-01-23,"Cute space and decor - this place has potential. 
 
 The only reason I am giving this place a low rating because the food was not very good. I ordered the Shrimp Po-Boy, it came out cold and the complete opposite of what a Shrimp Po-Boy should taste like. The shrimp was small and cold, the sandwich basically tasted like a salad in a stiff baguette. I was so disappointed, I wanted to cry because I was looking forward to fried shrimp in a warm baguette. For $11 I would expected something amazing.
 
 Definitely not coming here again :(",2,2,0,1,0,0,1
3002286,HOWr5Qkjt2CMfYMfdEy0KQ,vnWKs2dgqDuR_yNI5qJG5g,3rWRNL9sFX4YiWPqaUvUzw,1,2016-09-20,"I have given this place way to many chances to impress me and every time I come out of there more and more disappointed. 
 We came here in early September before the concert and wanted to grab a snack. The dining area was not even packed. They did seat us down immediately and then crickets!! No one came up to greet us or even fill our glasses with water. We sat there very patient for over 20 minutes and nothing. How could you miss a party of 6? After trying to track down who our server was we left extremely upset on their customer service. I will not be returning back to this place. I have given it many chances and hoped it might make a positive turn. Sorry Hard Rock...You do not rock my world.",4,2,2,0,1,0,0
4472047,Zgfp8EPKeC5XrUFzvotL_Q,orh0HRUNCWuQMt9Iia_osg,LGZPjmhEg2QYeGZ2PKnpQw,3,2015-07-05,"Definitely not cheap. Food's good quality though.
 
 Had:
 Squid tentacles - Ordered because Yelp said they were good. They were pretty good, but the larger pieces were a little bit chewy. Good flavor though.
 Curry cuttlefish - Cuttlefish were really tender. Curry flavor was good. Awkward how they put fries into the bottom though. Steamed cuttlefish = steamed fries. Defeats the purpose of fries. Also filler. Less cuttlefish if you put fries at the bottom of the dish.
 Spareribs with black bean sauce - Definitely better quality ribs than I'm used to at dim sum. Other than that, pretty similar. Taro chunks at the bottom. Also filler.
 Fois gras and mango deep fried rolls - Think standard shrimp salad rolls at dim sum, but with small bits of fois gras and strips of mango inside, and the salad dressing on of the roll. Five pieces? Something like that. Not enough fois gras. Salad dressing overwhelmed the entire thing. That being said, it was tasty. Not worth the price though.
 Snow pea shoot and fried tofu steamed rice noodle - for all you vegetarians out there, this one's delicious. It's an interesting combination, and the mouth feel is quite nice. Snow peas are fresh.
 Snow pea shoot steamed dumpling - Supposedly had scallop in it. I couldn't find any. That being said, the snow pea shoot filling was almost (or actually) entirely just that. It was really tasty.
 Lion head beef meatballs - Or just big beef meatballs. A tad more black pepper in these than I was expecting, but it was quite welcome. Meat was tender. Very much so. Not much beef flavor though.
 Deep fried taro shred with minced pork filling - Usually yum. This one was also yum. Taro shred was nice and loose (not dense and packed in. More like deep fried floss?) and the inside was moist. Good ratio of external taro and internal filling.
 Garoupa and bitter melon pan fried rice noodles? - I think that was the name of the fish...Fish was delicious. Bitter melon was a good kind of bitter. Pan fried rice noodles were done well. Good base. Sauce made it so it wasn't dry. Good portion for six people.
 Durian pastry - An odd green color. That being said, the inside is quite strong on the durian, and entirely delicious. Custard-like. The outside was flaky pastry and oh so delicious as well. Three pieces. A great way to end my meal.
 
 If the prices were better and the service was better, I'd make this one of my go-to dim sum places. Well, that and if it was closer to home...",5,0,0,1,1,0,1
1981237,Nk_riouqbWxDy7xase07wA,8959F5stCzJWI_I7dgxurg,kWvBsbALiMDOghpoBh-tAQ,4,2011-08-09,"I was very skeptical of this place because I am normally not a fan of strip center Mexican food places. This location isn't the newest and nicest but it is definitely a solid joint and far exceeded my expectations. 
 
 Our server\/waiter was fast, friendly and courteous. The chips and salsas brought to the table when you sit down were fresh and excellent. I especially loved loved loved the red one. I bought a pint to take home to put on EVERYTHING. There is just enough spice and great flavor. There is some secret ingredient but I can't place it. We also ordered the melted cheese thing for an appetizer and it was awesome cheesy goodness. Next time we are going to order it with green chilies. 
 
 My wife and I split the ""Fajitas for 2"" with 1\/2 chicken and 1\/2 steak. I thought it was excellent. The meat was tender and juicy and there were plenty of sauteed onions and peppers throughout. There was also more than enough for 2 people. The flour tortillas were also fresh and delicious. Their guacamole was less than stellar however.
 
 This is probably one of my favorite local Mexican places and I can't wait to go back.",1,1,0,0,1,0,0
4348752,Wtj_zW0_HbzuaO_Dkac0Fg,SJQ65xwHEckAe0dRzO7cbA,e4NQLZynhSmvwl38hC4m-A,3,2015-11-14,"Loved the place. Froze my ass off dining outside as the indoor seating is limited. Although the Carne Asada street tacos were great, too much onion was a little over bearing so I will leave them off next time. We will be going back in the future.",0,0,0,0,1,0,0
3128683,gltgt8OI22v2kjEKVO6WHw,6e_OSObAd1UkEDs_qXDgpg,DaTQLers4x_DbGPi7r_xVw,4,2014-05-22,"TIME is what you need when you come here. But it's worth it. Some may say the service brings new meaning to Lazy Mexicans -- but they are really just taking the time to make everything fresh! From the guacamole to the margarita, it's all done right before your eyes and it's worth the wait. The Tacos are good, and reasonably priced too. Just make sure you're not in a rush.",0,0,0,1,1,0,0
835647,ExH2gu65KslEKbKDpi3sig,yqa2qWN6acpmDuDL3U61UA,IMb5BpDLlSbr7yn19HhltA,3,2013-08-06,"Overall, not a bad dining experience... but nothing was exemplary about it either. I'll go back.
 
 I am fairly consistent with what I order when trying new places that are similar to other places that I have previously been to. What I mean by that is that unless something is highly recommended by other Yelpers, then I will typically get the steak tacos at a Mexican restaurant... and that way I can, in my own way, compare each restaurant to the others.
 
 Anyway, there was only a very brief wait to get seated... and the service was really attentive, coming back to check on our meal, and filling up our waters often (always a big plus in my book).",2,0,1,1,0,0,1
1957756,7JmYT-IznRr_gTM0DY6xCg,QRBOntXw8L4z3-RgZONFaw,7sh1qDlGo_80zpJfFrnb4Q,5,2015-03-07,"My wife and I ate here twice in last 10 days. 
 
 After 2 recent strikeouts in local Restuarants we've frequented for years, this was a great find. Don't know what took us so long. 
 
 Great selection of Italian food, incredible taste, served hot and timely, great proportions. Also great service and vino selection. 
 
 Met the owner Tues night. Day before their cooler had gone out and they lost all their food yet she and staffed worked all day to get ready to serve their guests any way. Many other places would have shut down for the night. 
 
 Somewhat limited hours but maybe that's why quality so high.",1,0,0,0,1,0,0
4374279,VDhD9b9L455mikkCmfhQSQ,KcBKiAErgC9mgOagGIoOqw,dAmVTQ6ukuLh4UxTmBoRkg,2,2016-06-12,"Food was only ok, not amazing!! Prices are decent. The latte was great!! 
 
 The wait was way too long....waited 40 minutes for the table for 2 and another 35 minutes for the food. This restaurant is very small, that is why the wait was long. The menu is small and few items, such as the popular dishes like Egyptian falafel and Grilled Cheese, were sold out by noon. After a 40 minutes wait to find out that the popular dishes were sold out...that was a big disappointment. I wondered why the waitress didn't tell us about this when she gave us the menu and only mentioned about the items are sold out when we place the ordered !! 
 After all, the Service was great..friendly staffs.
 
 In conclusion, i will not come back to this restaurant again. DEFINITELY NOT WORTH THE WAIT AS FOOD WAS NOT THAT GREAT!! NOTHING SPECIAL.",6,1,1,1,0,0,0
4021985,cpuim08I33vZLtdy-zQcSQ,1HFkcIGKY7-e9vCsc8PX5g,3glVZZh_vyZH1VvPU0307A,3,2010-10-14,"What a great place! My dining partner and I were both charmed by the ambiance, and we each took full advantage of their 2 oz. taster wines--it's such a great way to have a different wine with each course and still be able to go to work the next day.
 
 The food wasn't that impressive, though--I ordered a pasta dish that arrived oily and underseasoned, and my friend's chicken was similarly bland. We were very impressed with the post-prandial cheese selection, though, and the appetizer we shared was a lovely balance of salty (anchovies), sour (capers), and sweet (buffalo mozzarella). I'm glad there's a place like this in the neighbourhood, but I think I'll stick to drinks and appetizers here.",0,0,1,1,0,0,1
