text,stars,BERT_pred,Bayes_pred,SVM_pred
"Yet again my first time visiting another lunchtime chain store; and I was not impressed really. The food was only ""OK"" and a bit bland. Plenty sauces to choose from if you know what you're doing; but it would need a lot to cover the tasteless food. I had the ""'lil bowl"" and a drink and with a side of guacamole it came to $9.68?! Wow...not good value for $$ in any language! The staff are very friendly and service is fast (it was empty for the most part at 11:45) Their credit card reader was also down so it was harder on them than usual They could give you a little more taco meat on the meal also. Don't think I'll be going back....",2,2,3,2
"3 words...Twice Baked Potato! Oh my, these are so good!!! I love these so much I have even ordered them to go when we are grilling steaks at home. But it is always nice we we go there for dinner too. 
 
 The rest is good as well. I've had the filet, prime rib, various appetizers, a delicious orange martini. 
 
 Only once did I not enjoy my food. The one time I decided to order the peppercorn steak. Way too peppercorny. (is that a word? ;-)) It did live true to it's name but way too much. Couldn't taste anything else.
 
 So stick with the basics and definitely get the twice baked potato.",4,3,4,3
"I think my expectations were too high before I arrived. I love me some good eggs Benedict, and my friend had wanted to take me here to try the lobster. 
 
 I'm a bit picky, since good Benedict has to have amazingly good sauce. Once that sauce is instant made or out of a bag, it just doesn't taste right.
 
 I wasn't too fond of the sauce on my Benedictus. The banana muffin or bread thing was good. The interior was a bit run-down when I went.",3,2,3,2
They started off good but looks like cleanliness is not a big priority. Too bad because the few times we visited the service was good. It was so filthy I just threw our food away and went across the street. I don't understand how an employee can't just take the time to wipe the tables are mop the floor after someone dropped a drink.,2,1,2,2
Given that this restaurant has a prime location overlooking the forth and both the rail and road bridge we were very dissppointed by our visit. We visited at the latter end of the summer when it was busy but not mobbed. We went in to find a table for a drink with a view to eat. All the empty tables were dirty and no one made an effort to clear one for us. we stood about for a few minutes and as no one made any attempt to help we left and went elsewhere. This could be a fantastic place but needs a bit of a push.,2,3,1,1
"Good drinks, cool space. This was my first time there and it may have been an off night but it wasn't very crowded or lively. However the drinks are decent and the space is fun. LED sky curling and lots of tiki themed decor to keep your eyes entertained. The staff was very polite and attentive as well. Only bummer is they were out of signature mugs and that is a must for any tiki bar. I collect them and consider it part of the experience. 
  
  I'll try again next time I'm in town and hopefully I'll have better luck.",3,5,4,4
"not my favorite or even go to place 
  the food was nothing special 
  a bit over priced
  great location tho 
  the music physically was louder in the bathroom then in the resturant...not sure whats up with that",2,3,3,3
"I've eaten here twice and enjoyed it. I had previously heard that the service was rude but I never found them to be anything but nice. Food was great. Don't know if I'd call it THE BEST pizza I've ever had in my life, but it ranks in Top 10 for sure.",4,5,4,4
"So so. Definitely did not live up to the hype. Small portions and bland at best. I Wil say the rock shrimp app was fantastic though. The place is very tight and VERY loud. Service was average, definitely not anything exceptional. Place is very over priced for the portions and flavors.",2,3,3,2
"Not sure what all the hype on this place is about... The ambiance is decent, I'll give them that. But the food was not good at all. Maybe we just got the wrong things? When I asked for recommendations from our server she gave us short, uneducated answers and had a bit of an attitude. Chicken fingers were about the same quality as the frozen ones at the grocery store.. I asked for ranch to hide the taste a bit and waited ten minutes for someone (not even our server) to bring it. Only to find out later that we were charged for it! We also got a French dip with au jus. Both the sandwich and dip were WAAAYYY to salty to eat. Disgusting. 
  
  Atmosphere: 4\/5. Decent patio, new building. 
  
  Service: 1\/5. Server did the bare minimum. Also should have warned us that they charge for ranch\/extra sauce.. I've always been warned by servers at places that do that. 
  
  Food: 1\/5. Chicken strips were edible but barely, French dip was beyond disgusting. 
  
  I might go again to try the burgers that everyone loves so much and give the place another shot, given that it's so close to my place, but my first experience was not good at all.",2,2,2,2
"We have been here several times for Sunday Supper, but went last Friday night with another couple. The food was good, not great, but good. I think it is overpriced. it was so loud we had to scream at each other. The worst was when we got home my husband mentioned how much it was and I have to assume we got charged for wine that we didn't have as the bill was about $60. more than it should have been. I'm going to give them the benefit of the doubt and assume it was an error, but will not go back for anything other than Sunday Supper and will carefully check the bill.",3,5,2,2
"The place has good wings, but only if you order them at the restaurant, they are far worse when you order takeout (I've ordered in both at the location and takeout more than once, so I feel this is consistent). All of the rest of the food is very average.",2,3,2,1
"During my first visit I probably would have given two or three stars. Nothing terrible happened but the service was pretty lackluster and the Mac and Cheese ""dinner"" was literally a giant bowl of decent (albeit standard) macaroni with creamy cheddar sauce.
  
  Having been back several times since that initial visit I have found that the service during my initial visit must have been an exception and that I simply need to order other items. I do love mac and cheese, but here it is better ordered as a side. I also appreciate that The Diner on Clifton is open late and serves part of their breakfast menu all day -- which is a big plus for a breakfast for lunch or dinner guy like me. I am also a fan of their shakes and will certainly continue visiting, especially if I have a need for a late night snack in the area.",4,5,3,3
"Cute space and decor - this place has potential. 
  
  The only reason I am giving this place a low rating because the food was not very good. I ordered the Shrimp Po-Boy, it came out cold and the complete opposite of what a Shrimp Po-Boy should taste like. The shrimp was small and cold, the sandwich basically tasted like a salad in a stiff baguette. I was so disappointed, I wanted to cry because I was looking forward to fried shrimp in a warm baguette. For $11 I would expected something amazing.
  
  Definitely not coming here again :(",2,2,2,2
"Definitely not cheap. Food's good quality though.
  
  Had:
  Squid tentacles - Ordered because Yelp said they were good. They were pretty good, but the larger pieces were a little bit chewy. Good flavor though.
  Curry cuttlefish - Cuttlefish were really tender. Curry flavor was good. Awkward how they put fries into the bottom though. Steamed cuttlefish = steamed fries. Defeats the purpose of fries. Also filler. Less cuttlefish if you put fries at the bottom of the dish.
  Spareribs with black bean sauce - Definitely better quality ribs than I'm used to at dim sum. Other than that, pretty similar. Taro chunks at the bottom. Also filler.
  Fois gras and mango deep fried rolls - Think standard shrimp salad rolls at dim sum, but with small bits of fois gras and strips of mango inside, and the salad dressing on of the roll. Five pieces? Something like that. Not enough fois gras. Salad dressing overwhelmed the entire thing. That being said, it was tasty. Not worth the price though.
  Snow pea shoot and fried tofu steamed rice noodle - for all you vegetarians out there, this one's delicious. It's an interesting combination, and the mouth feel is quite nice. Snow peas are fresh.
  Snow pea shoot steamed dumpling - Supposedly had scallop in it. I couldn't find any. That being said, the snow pea shoot filling was almost (or actually) entirely just that. It was really tasty.
  Lion head beef meatballs - Or just big beef meatballs. A tad more black pepper in these than I was expecting, but it was quite welcome. Meat was tender. Very much so. Not much beef flavor though.
  Deep fried taro shred with minced pork filling - Usually yum. This one was also yum. Taro shred was nice and loose (not dense and packed in. More like deep fried floss?) and the inside was moist. Good ratio of external taro and internal filling.
  Garoupa and bitter melon pan fried rice noodles? - I think that was the name of the fish...Fish was delicious. Bitter melon was a good kind of bitter. Pan fried rice noodles were done well. Good base. Sauce made it so it wasn't dry. Good portion for six people.
  Durian pastry - An odd green color. That being said, the inside is quite strong on the durian, and entirely delicious. Custard-like. The outside was flaky pastry and oh so delicious as well. Three pieces. A great way to end my meal.
  
  If the prices were better and the service was better, I'd make this one of my go-to dim sum places. Well, that and if it was closer to home...",3,3,3,4
"TIME is what you need when you come here. But it's worth it. Some may say the service brings new meaning to Lazy Mexicans -- but they are really just taking the time to make everything fresh! From the guacamole to the margarita, it's all done right before your eyes and it's worth the wait. The Tacos are good, and reasonably priced too. Just make sure you're not in a rush.",4,5,5,5
"Overall, not a bad dining experience... but nothing was exemplary about it either. I'll go back.
  
  I am fairly consistent with what I order when trying new places that are similar to other places that I have previously been to. What I mean by that is that unless something is highly recommended by other Yelpers, then I will typically get the steak tacos at a Mexican restaurant... and that way I can, in my own way, compare each restaurant to the others.
  
  Anyway, there was only a very brief wait to get seated... and the service was really attentive, coming back to check on our meal, and filling up our waters often (always a big plus in my book).",3,3,3,3
"Food was only ok, not amazing!! Prices are decent. The latte was great!! 
  
  The wait was way too long....waited 40 minutes for the table for 2 and another 35 minutes for the food. This restaurant is very small, that is why the wait was long. The menu is small and few items, such as the popular dishes like Egyptian falafel and Grilled Cheese, were sold out by noon. After a 40 minutes wait to find out that the popular dishes were sold out...that was a big disappointment. I wondered why the waitress didn't tell us about this when she gave us the menu and only mentioned about the items are sold out when we place the ordered !! 
  After all, the Service was great..friendly staffs.
  
  In conclusion, i will not come back to this restaurant again. DEFINITELY NOT WORTH THE WAIT AS FOOD WAS NOT THAT GREAT!! NOTHING SPECIAL.",2,1,3,2
"What a great place! My dining partner and I were both charmed by the ambiance, and we each took full advantage of their 2 oz. taster wines--it's such a great way to have a different wine with each course and still be able to go to work the next day.
  
  The food wasn't that impressive, though--I ordered a pasta dish that arrived oily and underseasoned, and my friend's chicken was similarly bland. We were very impressed with the post-prandial cheese selection, though, and the appetizer we shared was a lovely balance of salty (anchovies), sour (capers), and sweet (buffalo mozzarella). I'm glad there's a place like this in the neighbourhood, but I think I'll stick to drinks and appetizers here.",3,3,3,4
This review is for Road Kill Grill... The ribs were tasty enough but very dry & overcooked as was the brisket. The mac & cheese was forgettable just like the potato salad. The spicy BBQ sauce was the best part about the meal. I also do not like how you have to wait in the same damn room that they sell the butcher meat in which is already an extremely small place & the door is constantly bumping someone in the ass. This place is WAY OVERRATED. I have eaten from their truck before & for some reason it was better. The sad thing is that since that Guy Fieri said it was good on his Drive-Ins & Dives show every sheep in Las Vegas can't think with their own tastebuds... either that or BBQ has some really slim pickins in Sin City.,2,2,2,4
The food was tolerable..friendly staff also. They delivered within 45 minutes as was told. Taste for pricing: I wasn't too pleased. For a 24 hour delivery I wouldn't expect too much more than what I did. One negative thing is that I specified wanting sweet and sour and teriyaki sauce and they forgot but that wasn't a deal breaker I just wasn't crazy for the taste. Paid about 40 dollars for two combo plates.,2,3,3,3
"Came here last night with my boyfriend and I have to say if I were basing my rating on the service alone it would be 5 stars. 
  
  We started with the calamari, baked clams, and meatballs. The meatballs were absolutely amazing! They were soft, moist, tender and very flavorful. The calamari was a little too greasy for me but again the sauce was seasoned perfectly. The baked clams were mostly breading and didn't have that crispness on top that you look for. 
  
  We then split the Caesar salad which was very good and had nice sheets on thin fresh Parmesan cheese. 
  
  For entrees I had the Ossobuco which I was disappointed with. It was a little tough and the risotto was bland. My boyfriend had the chicken Parmesan which he enjoyed. 
  
  For dessert the peanut butter tart was delicious! 
  
  All in all not a bad meal, but nothing compared to the original back in Harlem.",3,3,4,4
"Showed up one evening for food to go and there wasn't a single employee in the building. One finally came from the patio and took my order. I asked for extra tzatziki sauce for my gyro. I was given my food and checked to make sure my extra sauce made it in, there was no sauce at all. Again no employee anywhere... So I went into the kitchen and asked the chef for sauce to go. 
  
  Food was ok. Service was horrible.",1,1,2,1
"Crust, crust,crust was a bust.thin yes but no crunch to it. The cheese , sausage and sauce was very tastey. Had a antipasta salad..just ok at best.. If you are looking for a crispy crust not here..",3,3,3,2
"Showed up early for our romantic anniversary dinner reservation on October 9th, expecting to have a cocktail to find the bar was packed. That's fine, we went next door to Hecho. Upon our return, we were seated at a tiny table for two, in the packed bar! When asked, ""Is there something more private for us? This is rather uncomfortable,"" the host responded with, ""Well, since you made your reservation today, this is what we have for you."" Ok, that's fine, we'll relax and make the best of it. A server quickly came by, asking for our order yet, we hadn't opened the wine list nor reviewed the menu yet. After deciding what we'd like to order, about 10mins later, we waited patiently for our server who never showed after another 15mins so we left. We walked over to L'Atelier thinking we had no chance of getting a seat yet alas, we were seated and had another FABULOUS evening! Thank You and we'll be back to support the Joel Robuchon again in a heartbeat. Sorry Tom Colicchio. Cheers!",1,5,2,1
"This place was surprisingly bad. The place looks really nice. From the outside you expect this place to have good food. The menu should have been the first hint. Not a lot of options, and even still, not a lot of good options. 
  
  I ordered the grilled cheese and tomato bisque. It took 20 minutes to make. Plane white bread with little cheese in the center. The bisque tasted watered down. Overall it was very bland. Trust me, you will get better food from the place further down the terminal.",2,3,3,2
Visited for breakfast. Krysina A. was full of energy and extremely interactive. A plus when servers r usually robotic and task oriented. Loved her personality. Coffee was good and hot. Hash browns crispy. Bacon crispy. We ordered at the table.,4,4,4,4
"I wanted to love this place, but didn't. I chose this place based on the online reviews, it did not live up to them at all. Perhaps the food here use to be good, and the cook lost her passion -I don't know, but I've had good Czech and Eastern European food and this was not it. 
  
  Having recently moved back to Ohio from San Francisco I was looking for a place like I use to go to in SF with my Czech Friend Martina called ""Frankies Bohemian Café"". http:\/\/frankiesbohemian.com\/. The owner came from the same town as my friend so whenever we went, we got the hook up-all kinds of wonderful Czech food not on the menu but made for ""family"". I've been missing it something fierce, now so looked online for something here in Cleveland.
  
  I came across Marta's and it had great reviews on a number of websites. I was looking forward to eating some really good\/stick to your ribs food. Unfortunately this place did not live up to any of the reviews. 
  
  The décor was totally vintage 60s and kind of charming. It had an European tavern feel with tables on one side and a long bar running the length of one side.The owner\/cook\/waitress was very pleasant but sadly that was the best part of the meal.
  
  We got there at 6 on a Friday evening and the place was completely empty. Having been open since 4pm and completely empty on a Friday night at 6pm isn't a good sign for any restaurant. We wanted pierogies for appetizer and were told they were out of the pierogies (potato\/cheese) we wanted. Strike 2-another bad sign for a business that clearly wasn't busy and running out of food. So we ordered the other filings and our entrees. 
  
  Anxiously awaiting our food, hubby got a Czech beer (on tap). Plus for having a good European beer! Then we got our food and it was mediocre at best-a total letdown. The plate was piled high with food, covered in pale looking gravies-not very appetizing. I got the Chicken paprikash and it was tasteless and bland. I don't know what the other reviewers got who raved about it but there was nothing to rave about with mine. The sauce was very runny, pale and bland. The spaetzel was good though. Hubby got Pork Wienerschnitzel-said it was tough, WAY too much breading and a greasy gravy. We couldn't finish it and declined any dessert. 
  
  Not only was it so-so, it was pricey. One appetizer, two entrees, one beer ($7.50 for tap beer!) and one Sprite came out to $42 before tip. YIKES! Not cheap and not worth the money. . If you want good Czech food, this is not the place to go. I will continue my search for GOOD Eastern European food.",2,3,2,2
"The dim sum here was pretty bad. But the service was surprisingly good. Dim sum houses are not normally known for their friendly waitstaff, but one of the push cart ladies here was quite attentive and promptly brought me things (chang fen, Chinese broccoli) when I asked.",2,3,3,3
"For some reason, the tortellini was completely without flavour. This resto has long been a favourite of ours so we were stunned by the abject quality of what should be an effortless dish for an Italian restaurant. 
  
  We went in March, and our last visit was two years before that...so maybe something's changed. Please don't make it difficult for us to recommend you, Eduardo!",2,5,2,1
"5 stars for the food..... about 2 for the service. On a Saturday afternoon during a Pens game there was 1 worker. The place was buzzing and the bar was full. I'm not shaming them for being busier than expected, but how servers handle busy times is important. A simple, ""Hi, I will be with you in just a second"" could have gone light years in the situation, but instead we were blatantly ignored and sitting at a dirty table for 15 minutes and finally approached without so much as a ""Hello"". I had to ask, after someone from the back cleared the previous guests' drinks and check, for the table to be wiped down.
  
  I ordered the cobb salad with smoked chicken and my mom ordered the pulled pork quesadillas. Both were very generous portions and tasted delicious. The menu here is extremely impressive and I don't doubt most everything else tastes as delicious as the food we had on Saturday. 
  
  It's a really cool industrial - barnyard décor and I think this restaurant would do great in Lawrenceville or Bloomfield if they cleaned up their service a little bit and had more people staffed for the Saturday lunch hour. This is off the beaten path with (from what I know) little signage. Probably hard to come across if you don't already know where to look. I don't get out this way very often but is definitely a place I would like to bring Bobby back to try. I'd be happy to give them another shot..but this particular experience left me wanting more in regards to service at at a restaurant. So, just A-OK for now.",3,3,3,3
"The food was good, slightly above average. I Ordered the steak and eggs and pancakes. The pancakes were slightly below I hop quality. I think they offer vegan and vegetarian food as well. Service was adequate but not over the top. I'd go back if I was in the area.",3,3,3,4
"The only reason this isn't a 5 star rating is because of the crappy customer service I ALWAYS get here. I love dunkin coffee so I come here every other morning for some. However when my order is wrong, I'm treated with disrespect. No one takes accountability here! Not even the manager in the mornings! I'm sick of the mistreatment",2,1,1,1
"Extremely frustrated, we like to go and enjoy their Happy Hour food but got turned away tonight because we had our grandchildren with us!!!!!! They told us Happy Hour is only for upstairs and you can't go upstairs with children. Last time we went with our grandchildren they honored Happy Hour downstairs due to having the kids...WE WILL NOT BE GOING BACK.",1,1,1,1
"The Tron pub used to be a lovely bar when it was known as the Tron Ceilidh house, but since being taken over by the it's a scream chain it's gone a bit down hill.
  
  
  Decorated in garish primary colours, this place is primarily a student haunt. If you're a student you can buy a yellow card at the bar which gives you discounted drink prices, but even without it's fairly cheap. There's a tatty pool table, juke box and other machines, along with huge tv screens that seem to show every type of sport imaginable.
  
  
  The food is actually pretty good. Although it's mainly pub grub and stodge, it's cheap, there's plenty of it and it's great for a hangover. The Scream burger in particular is pretty fantastic.
  
  
  A decent enough place to pop into for a spot of lunch, but avoid on student nights or when there's a big sporting event on",3,3,4,4
"This place has received plenty of positive reviews on YELP. I am not sure why. 
  I only came here for lunch because Ko-Mex was closed yesterday. From the outside, the place looks sketchy. However, I was pleasantly surprised at the clean and inviting dining area once we walked in the door. 
  
  For lunch, I chose the Moco-Loco which was layered with steamed rice, a hamburger patty, a fried egg, and brown gravy. I asked for my egg scrambled, not fried. Oh well - I ate it anyways. The dish was good--not great. 
  
  My wife tried the Korean noodle dish-Japchae. We didn't like the texture of the noodles they used for this dish. Imagine the texture of gummi bears while eating noodles. Because they were so spongy, no flavor stuck to them. Who wants to eat plain spongy noodles? Not this guy....
  
  My parents were with us since they were visiting from the Bay Area. They both chose the bibimbap (spelling?) which was a bowl of rice, vegetables, beef, an egg, and spices. The beef inside these bowls was bland, tough, and fatty. Oh, and the side of macaroni salad was way too salty.
  
  The service was spotty. For example, I didn't like that our entrees were coming out one at a time -every 5 minutes. Plus, I was not offered a drink refill at all during lunch. The more I write this review, the more I realize I don't really like anything about this place.",2,2,2,2
"Ambience. Thumbs Up.
  
  Cocktails and Wine. Double Thumbs Up.
  
  Food? Overpriced Mediocrity. 
  
  I had Ribeye and Escargot. While the escargot was forgettable, I'm a steak man. 
  
  American Diner Steak? Excellent. Just make sure to throw an egg on it to add some taste.
  
  Pocket Burning Steak? Double Excellent. I love the monthly piece that lets me indulge in my carnivorous pleasures. 
  
  This was a pocket burning diner steak. $65, hacksaw rough, slightly overcooked, and literally 1\/3 fat. Not in between or around the edges fat, but literally an entire piece of the cut. Screw that mess.",2,2,3,3
"Amazing live music...they even managed to squeeze me in without reservation letting me know they would need my table after 9PM. i liked the hostess honesty. Great group of ladies.
  
  Unfortunately same cannot be said for server or food here necessarily. I was feeling a tender steak and made a point to ask the server which of their Bavette or strip loin is most tender. He told me the strip loin...so I trusted him. The person next to me was having steak frites...his looked perfectly cooked medium rare. I got my steak. Well done to hell. I told my server and he looked at my well done cross section and said ""yes you mentioned medium rare..."" Mind blowing stupidity. I said its over cooked and not medium rare....he says in Canada it's medium rare...I said if this is medium rare...what the hell is well done? Charred to shit?
  
  Anyways he claimed I should have ordered it blue and brought me a newer steak. It was better but not medium rare. More like medium. Steak was delicious but the vegetables were so\/so.
  
  I'd recommend the place for live music and OK food. Not great for perfect steaks. Prices reasonable but the food I would sort of say is below par.",2,2,3,2
"Fantastic food! However, we were there for two and a half hours and only got two drinks from our waitress... with the cost of the food and the upscale type of restaurant it's suppose to be, I thought the service would have been better...",4,2,2,2
"Was excited to try this place, but ended up pretty disappointed. Echoing what others have said, the beers do taste very watered down, so much so that we had a sip of each and that's it. Food wasn't memorable either, and 3\/4 of it came out lukewarm\/cool. The fish in the fried fish and tots was soggy and room temp. Overall, flavors weren't very good or special enough to warrant a return. It's also quite loud, I was really having to raise my voice to be heard by my dinner partner. It's a nice looking place for sure though.",2,3,2,2
"Service was good. The server was very professional and courteous. The restaurant just got slammed - high school grad ceremony across the street just got out. It's Kelsey's so you expect pub grub. Four of the five meals we ordered were good. Sadly, I ordered a steak. Chipotle shrimp sirloin. Don't order the steak!! Omg. Worst cut of sirloin ever. I mean ever. You know the tongue of an old pair of leather dress shoes that have been worn for years and years? It would have better texture than the cut I had. Gross. And naturally, the frozen veggies boiled to ""almost thawed"" were a nice touch. 
  At any rate, good spot for pub grub and a pint. Typical for chain restaurants I would think. I won't order big there again, but I'd order the fish and chips or the Mac and cheese. Oh, and don't ask for a special request...it will be forgotten...could have been due to the slam, or order entry done wrong....meh...",3,2,3,3
"I never though that I could not enjoy a big bunk of lobster. But I guess it's possible. This place was just really pretentious without anything to back it up. Granted, we were a big group of 20-somethings but the place was pretty empty so I don't think a bad attitude was warranted. 
  
  I think the theme of the night was quantity over quality. The shellfish platter was full of giant pieces of seafood that tasted like it came out of a freezer\/buffet line. The lobster was really rubbery and flavorless, but it was cute that they de-shelled it in front of you. Perhaps I should have gotten steak at a steakhouse (who knew?) The creamed spinach and mashed potatoes were good, but nothing memorable. The creme brulee was really good (isn't it always) and the chocolate volvano souffle was also good. 
  
  But i don't think anything would compel me to come back here. Even the deco is stuffy and pretentious. Boys, come here in a suit.",3,3,3,3
"i had:
  
  tomato bread, sliders, fries, babyback ribs, and ham&cheese croquette!
  
  they were amazing! gave me instant coma though,
  fast and attentive service too!",4,5,5,5
"First to the good points: the atmosphere and the service were good. 
  Now, to the OK points: the music choices were OK but way too loud.
  But to the main point: while the food is creative and tasty, in no way is this a restaurant for dinner. Each dish\/portion is the size of a tapas plate, but priced at a full entree\/mains level. This is precious, self-indulgent food, all about showing off the executive chef's culinary whims and not at all about serving a clientele with any appetite.
  Perhaps we might not have minded had we been on an expense account, or had drunk so much that we no longer noticed, but we left feeling we had been taken advantage of. This restaurant is all about the chef, and not about the diner. We didn't patronize it to be trendy, we went there to eat. And not at such an expensive price point.
  And as someone who's lived and eaten all over the US, I sure didn't recognize any of the Southern US cuisines supposedly riffed upon here....",1,2,3,3
